Codice Categoria/Nodo;Codice Categoria/Nodo Padre;Nome Categoria/Nodo Italiana;Nome Categoria/Nodo Inglese;Descrizione Categoria/Nodo Italiana;Descrizione Categoria/Nodo Inglese
1364;1362;Fornello 2 Fuochi Hotty2;2 Burner Stove Hotty2;Fornello a 2 fuochi in Acciaio Inox con termosicurezze.;2 Burner Stainless Steel stove with safety thermocouples.
1380;1378;Piano di Cottura con 4 Piastre Radianti;4 Electric Hobs Stove;Piano di cottura 220V ad incasso con 4 piastre radianti in vetroceramica da 1200/1800W e sensori di controllo touch. Da completare con fermapentole che va fissato sul pianale di sostegno.;"Flush mount 220V hob with 4 x 1200/1800W vitreous ceramic radiant plates and touch control sensors. To be completed with panholders to be mounted on support desk.
"
1392;1391;Ghiacciaie Portatili Igloo;Igloo Portable Ice Chests ;"Ghiacciaie portatili Igloo appositamente costruite per l'uso a bordo. 
Ideali per la conservazione degli alimenti, del pescato o come vasche per esche vive. 
Ottimamente isolate, cassa in ABS Bianco resistente ai raggi UV, interno in materiale plastico inodore. 100 e 150Qt sono provviste di doppio sportello di accesso. ↵

H  Altezza ↵
W  Larghezza ↵
L  Lunghezza";"Portable Igloo coolers designed for onboard marine use. 
Ideal for food preservation, for dailiy fish catch or for living lure. 
Perfectly insulated, all white high quality UV resistant ABS case, inner odorless plastic made. 100 and 150 Qt are endowed with double access hatch. ↵

H  Height ↵
W  Width ↵
L  Length
"
1394;1391;Kit Bloccaggio per Ghiacciaie Portatili;Portable Ice Chest Blocking Bracket;"Kit bloccaggio universale per ghiacciaie portatili composto da 
4 angoli + 2 cavi elastici da fissare attraverso le maniglie.";"Universal portable ice chest blocking bracket kit made of 
4 corners + 2 elastic cords to be fastened through handles."
1395;1391;Cuscini per Igloo;Igloo Ice Chest Cushions;Cuscini per ghiacciaie portatili Igloo.;Portable Igloo coolers' cushions.
1396;1391;Ricambi per Igloo;Igloo Ice Chest Spare Parts;"Ricambi per Igloo (maniglie e chiusure). 
Il Kit universale comprende: 
4 cerniere, 2 ganci di chiusura, 2 tappi di scarico e 24 viti Inox.";"Igloo spare parts (handles and latches). Universal kit contains: 
4 hinges, 2 surelock latches, 2 drain plugs and 24 Stainless Steel screws."
1415;1414;Frigoriferi VF Americani Compressore Interno;VF Internal Compressor American Refrigerators;"Frigoriferi VF compatti con compressore interno Danfoss bitensione 12/24V.
↵Si adattano per misure alle imbarcazioni Americane. ↵

H  Altezza ↵
W  Larghezza ↵
L  Lunghezza";"VF compact refrigerators with internal 12/24V dual voltage Danfoss compressor.
↵Dimensions are suitable to American boats. ↵

H  Height ↵
W  Width ↵
L  Length
"
1417;1414;Frigoriferi VF Compressore Interno;VF Internal Compressor Refrigerators;"Frigorifero VF con compressore interno Danfoss bitensione 12/24V. ↵
EN  con evaporatore Energy Saving.
↵
H  Altezza ↵
W  Larghezza ↵
L  Lunghezza";"VF refrigerator with internal 12/24V dual voltage Danfoss compressor. ↵
EN  Energy Saving evaporator.
↵

H  Height ↵
W  Width ↵
L  Length


"
1422;1421;Compressore Orizzontale Danfoss;Danfoss Horizontal Compressor Unit;"Compressore orizzontale completo di giunti rapidi e ventola di raffreddamento. 
Per gruppi frigo composti da: 
1 Compressore Danfoss bitensione 12/24V.  
1 Evaporatore con giunti rapidi (a scelta).
";"Horizontal compressor with quick couplings and cooling fan. 
For refrigeration systems which include: 
1 x 12/24V dual voltage Danfoss compressor unit; 
1 x Quick couplings evaporator (according to your needs).
"
1423;1421;Compressore Verticale Danfoss;Danfoss Vertical Compressor Unit;"Compressore verticale completo di giunti rapidi e ventola di raffreddamento. 
Per gruppi frigo composti da: 
1 Compressore Danfoss bitensione 12/24V. 
1 Evaporatore con giunti rapidi (a scelta).
";"Vertical compressor with quick couplings and cooling fan. 
For refrigeration systems which include: 
1 x 12/24V dual voltage Danfoss compressor unit; 
1 x Quick couplings evaporator (according to your needs)."
1424;1421;Evaporatori Piatti per Frigo;Refrigerator's Flat Type Evaporators;Evaporatori piatti con giunti rapidi per frigo.;Flat type evaporators with quick refrigerator couplings.
1425;1421;Evaporatori Scatolati per Frigo;Refrigerator's Box Type Evaporators;Evaporatori scatolati con giunti rapidi per frigo.;"Boxed evaporator with quick refrigerator couplings.
"
1426;1421;Evaporatori Salva-Energia per Frigo;Refrigerator's Energy Saver Type Evaporators;Evaporatori salva-energia ad accumulo di freddo in Acciaio Inox con giunti rapidi. Ideali per barche a vela, dove non vi è un ricarico continuo delle batterie.;"Stainless Steel cold-accumulation energy-saver evaporators with quick couplings. 
Perfect for sailing boats, where constant battery recharging is difficult.
"
1427;1421;Termostato Frigo;Refrigerator's Thermostat;Termostato frigo.;Refrigerator's thermostat.
1428;1421;Alimentatore 220V;220V Power Supply Adapter;Alimentatore che consente di utilizzare frigoriferi a corrente continua a doppia tensione 12/24V con la tensione di rete da 220V. Con circuito elettronico protezione sovraccarichi. Non compatibile per frigoriferi con alimentazione solo a 12V.;220V power supply adapter for double voltage direct current 12/24V refrigerators. With protection from power surges. Not suitable for refrigerators with 12V only.
1429;1421;Centralina Elettronica Frigo;Refrigerator Spare Electronic Unit;Centralina elettronica ricambio per frigo e congelatori Vitrifrigo.;Spare electronic unit to be used with Vitrifrigo refrigerators and freezers.
1439;1463;Ricambi WC Jabsco Vecchio Tipo;Jabsco Old Type Toilet Spares;Ricambi per WC Jabsco vecchio tipo.;Jabsco old type toilet spare parts.
1442;1435;WC - Toilet Manuale RM69 Classic;RM69 Classic Manual Toilet ;"Toilet manuale RM69 Classic con seduta comfort e sistema d'attacco sicuro e facile. 
Entrata ø 20 mm (3/4”) uscita ø 38 mm (1” 1/2).";"RM69 Classic manual toilet with comfort seat and easy and safe mounting system. 
Inlet ø 20 mm (3/4”) outlet ø 38 mm (1” 1/2).

"
1445;1435;WC - Toilet Manuale RM69 Regata;RM69 Regata  Manual Toilet ;Toilet manuale superleggera RM69 Regata in Cycolac con seduta in ABS e un peso di soli 3 Kg. Sicura e facile da installare. Entrata ø 20 mm (3/4”) uscita ø 38 mm (1” 1/2).;"RM69 Regata super light Cycolac manual toilet with ABS seat and only 3 Kg of weight. 
Safe and easy to install. 
Inlet ø 20 mm (3/4”) outlet ø 38 mm (1” 1/2).
"
1453;1452;WC - Toilet Elettrica Jabsco;Jabsco Electric Toilet;"Toilet elettrica Jabsco con tazza in Porcellana e maceratore ad alta capacità. 
Funziona premendo un semplice pulsante. Autoadescante a 1.20 metri. ↵
Entrata ø 19 mm / uscita ø 25 mm.";"High capacity waste macerator Porcelain bowl Jabsco electric toilet. 
Single button easy actuator. Self-priming at 1.20 m. ↵ 
Inlet ø 19 mm / outlet ø 25 mm
"
1457;1452;WC - Toilet Elettrica Johnson AquaT;Johnson AquaT Electric Toilet;"Toilet Johnson con seduta Extra e tazza in Porcellana. 
Completa di pompa e maceratore ad alta capacità con attivazione a pulsante. ↵
Entrata ø 20 mm / uscita ø 25 mm.";"Porcelain bowl comfortable seat Johnson toilet. 
Complete with pump and high power macerator with button actuator. ↵
Inlet ø 20 mm / outlet ø 25 mm. 
"
1459;16154;WC - Toilet Elettrica Ocean Luxury Standard;Ocean Luxury Standard Electric Toilet;"Toilet elettrica con seduta soft-closing confortevole (come a casa) con tazza e base in Porcellana antiurto.&nbsp;Con maceratore ad azione combinata di aspirazione/triturazione centrifuga, pompa carico acqua incorporata e pannello comando. Consumo 30A a 12V. Entrata ø 19 mm, uscita ø 25/38 mm.";Comfortable (feels like home) seat Porcelain bowl and base electric toilet. Equipped with combined macerator pump unit for aspiration and centrifugal shredder action, built-in water load flush pump and control panel. Easy to install. 30A consumption at 12V. Inlet ø 20 mm / outlet ø 25-38 mm.
1464;1463;Kit Elettrico Ocean per WC;Ocean Electric Toilet Conversion Kit;"Kit elettrico per trasformare il WC manuale in uno elettrico.  
Semplice da installare, sostituisce la pompa manuale. Adatto per qualsiasi WC con 4 fori di attacco interasse 95 mm come Ocean/TMC/Jabsco/Raritan/RM69/Johnson/Thetford/Lalizas. Lunghezza totale: 360 mm.";"Electric Kit used to convert manual toilet into electric toilet. 
Easy to install, it replaces the manual pump. Fits any toilet with 4 bolt fixing bowls with 95 mm wheelbase as Ocean/TMC/Jabsco/Raritan/RM69/Johnson/Thetford/Lalizas.&nbsp;Overall length: 360 mm."
1465;1463;Kit Elettrico Jabsco Verticale per WC;Jabsco Vertical Electric Toilet Conversion Kit;"Kit elettrico Jabsco per trasformare il WC manuale in uno elettrico.
Semplice da installare, sostituisce la pompa manuale del WC.";"Jabsco electric kit used to convert manual toilet into electric toilet. 
Easy to install, it replaces the manual pump."
1468;1463;Kit Bidet;Kit Bidet;Kit bidet acqua fredda/calda oppure solo fredda in Ottone Cromato per WC. Adatti a qualsiasi seduta WC.;Chromed Brass cool/warm or only cool water bidet kit for toilets. Fits any toilet seat.
1469;1463;Ferma Seduta Seat-Saver;Seat-Saver;Ferma seduta per sedili WC che impedisce i movimenti laterali.;"Toilet seat-saver that secures seat and cover from sliding. 

"
1479;1463;Interruttore comando per WC;Toilet Control Switch;Interruttore comando a pannello per azionare WC 12/24V.;Panel control switch for 12/24V toilets.
1480;1463;Pannello Comando con Livello per WC;Toilet Level Control Panel;Pannello comando per WC elettrici 12/24V con indicatore livello acque nere. Sensore opzionale H13 cm.;12/24V Electric toilet control panel with waste water level indicator.Optional probe H13 cm.
1501;1498;Climatizzatori MACS Compact 7000/9000;MACS Compact 7000/9000 Air Conditioner;"Climatizzatori MACS in completi per il montaggio, adatti per il condizionamento 
di un ambiente singolo o di due ambienti adiacenti. 
Struttura monoblocco comprendente compressore, condensatore, evaporatore e 
ventilatore, specifica per installazione a bordo, con movimentazione dell’aria 
in condotte isolate e distribuzione tramite griglie. 
Gruppo compressore ed evaporatore precaricato, non richiede particolari 
attrezzi per essere installato. 
Funziona come condizionatore (aria fredda) e come riscaldatore (aria calda). 
Per uso in banchina o con generatore di corrente. 
Completi di tubo 10 m, scarico, filtro, pompa e presa acqua mare, di pannello e 2 valvole a sfera, di griglia aspirazione e mandata aria, di plenum mandata aria e divisione flusso, di tubazione aria principale e secondaria.  ";"Air-condition system ready to mount kit which can cover one or two neighbouring rooms. 
Monobloc system complete with compressor, condensator, evaporator and vent, designed for onboard installation, with isolated ducts and distribution grids air handling. 
Compressor and evaporator are charged and they don't need special hardware to be mounted. 
Works as air-conditioner (cold air) and as heater (hot air). It can be used only at shorepower or with generator. 
Complete with salt water line hose, mushroom head, filter, pump and dip, with panel and 2 ball valves, with inlet, distribution and flux division grids, with 10 m main and secondary air ducts."
1519;1517;Scalda Acqua Nautic Boiler BX 16;BX 16 Nautic Boiler Water Heater;"Scalda Acqua stretto Nautic Boiler costruito per impiego nautico. 
Funziona con resistenza elettrica 1200W-220V per uso in banchina o con generatore oppure, tramite un esclusivo scambiatore di calore di tipo avvolgente, con il calore ceduto dal circuito di raffreddamento del motore. 
Mantengono l'acqua potabile e sono dotati di anodo contro gli effetti dell'elettrolisi. Contenitore e serbatoio in Acciaio Inox AISI 316. 
3 Anni di garanzia. Da completare con il kit premiscelatore.
";"Thin Nautic Boiler water heater designed for marine use. 
Works at shoreside or using a generator at 1200W-220V electric resistance or, thanks to a special enveloping type heat exchanger, with engine's cooling circuit heat. 
Maintains water drinkable. Anode against electrolysys effect included. 
316 Stainless Steel tank and insulation casing. 
3 Years warranty. 
To be completed with mixing valve kit.
"
1520;1517;Scalda Acqua Nautic Boiler BXS 25/40;BXS 25/40 Nautic Boiler Water Heater;"Scalda Acqua quadrati Nautic Boiler costruiti per impiego nautico. 
Funzionano con resistenza elettrica 1200W-220V per uso in banchina o con 
generatore oppure, tramite un esclusivo scambiatore di calore di tipo avvolgente, con 
il calore ceduto dal circuito di raffreddamento del motore. 
Mantengono l'acqua potabile e sono dotati di anodo contro gli effetti dell'elettrolisi. 
Contenitore e serbatoio in Acciaio Inox AISI 316. 
3 Anni di garanzia. Da completare con il kit premiscelatore dell'acqua. 
";"Square Nautic Boiler water heater designed for marine use. 
Works at shoreside or using a generator at 1200W-220V electric resistance or, thanks to a special enveloping type heat exchanger, with engine's cooling circuit heat. Maintains water drinkable. Anode against electrolysys effect included. 
316 Stainless Steel tank and insulation casing. 
3 Years warranty. 
To be completed with mixing valve kit."
1521;1517;Scalda Acqua Nautic Boiler BXR;BXR Nautic Boiler Water Heater;"Scalda Acqua Nautic Boiler costruiti per impiego nautico. 
Funzionano con resistenza elettrica 1200W-220V per uso in banchina o con generatore oppure, tramite un esclusivo scambiatore di calore di tipo avvolgente, con il calore ceduto dal circuito di raffreddamento del motore. 
Mantengono l'acqua potabile, dotati di anodo contro gli effetti dell'elettrolisi. 
Contenitore e serbatoio in Acciaio Inox AISI 316. 
3 Anni di garanzia. 
Da completare con il kit premiscelatore.";"Nautic Boiler water heater designed for marine use. 
Works at shoreside or using a generator at 1200W-220V electric resistance or, thanks to a special enveloping type heat exchanger, with engine's cooling circuit heat. Maintains water drinkable. Anode against electrolysys effect included. 316 Stainless Steel tank and insulation casing. 
3 Years warranty. 
To be completed with mixing valve kit."
1528;1527;Rubinetto Uno Built-In;Uno Built-In Faucet;Rubinetto girevole con canna retrattile e chiusura.;Flush-in telescopic locking spout swiveling faucet.
1529;1527;Rubinetto Uno Classic ;Uno Classic Faucet;"Rubinetto con canna abbattibile. 
Montaggio su piano.
";"Folding spout faucet. 
Surface mount."
1530;1527;Rubinetto Uno Folding;Uno Folding Faucet;Rubinetto con canna orientabile e abbattibile.;Swiveling and foldable spout faucet.
1537;1533;Miscelatore Classic Short Mixer;Classic Short Mixer Faucet;Miscelatore compatto per lavello con canna girevole.;"Swiveling spout sink compact mixer faucet.
"
1548;1553;Doccetta Switch Bath;Switch Bath Shower Head;Testa doccetta 1 getto con base per incasso.;1 Spray shower head with embed mount base.
1550;1553;Tubi Flessibili Doccette Bath;Bath Shower Head Flexibles;Tubo per doccia.;Bath shower flexible.
1555;1553;Doccetta Switch Standard;Switch Standard Shower Head;Testa doccetta Standard 1 getto.;"1 Spray standard shower head.
"
1556;1553;Doccetta Duo Switch Standard;Duo Switch Standard Shower Head;Testa doccetta a 2 getti.;2 Spray shower head.
1558;1553;Doccetta Knob Compact;Knob Compact Shower Head;Testa doccetta a 1 getto.;1 Spray shower head.
1559;1553;Tubi Flessibili Doccette;Shower Head Flexibles;Tubi flessibili per doccette.;Flexible hoses for shower heads.
1569;1564;Box Doccetta Soft Cap-R;Soft Cap-R Shower Box;"Contenitore Box tondo a incasso per doccette in Plastica con chiusura morbida. 
Foro incasso ø 57 mm - Esterno ø 77 mm - Profondità 65 mm. 
Da completare con doccetta e tubo a scelta.";"Plastic recessed shower head round box/container with soft cap. 
Recessed hole ø 57 mm - Outside ø 77 mm - Depth 65 mm. 
To be completed with shower head and flexible.
"
1571;1564;Box Doccetta Uni-S;Uni-S Shower Box;"Contenitore Box quadro a incasso per doccette in Plastica antiurto resistente UV. 
Montaggio universale verticale e orizzontale. 
Foro incasso 78 x 68 mm - Esterno 97 x 87 mm - Profondità 77 mm. 
Da completare con doccetta e tubo a scelta.";"Recessed shower head square box/container made of UV resistant sturdy shockproof Plastic. 
Universal vertical or horizontal mounting. 
Recessed hole 78 x 68 mm - Outside 97 x 87 mm - Depth 77 mm. 
To be completed with shower head and flexible.


"
1584;1581;Raccordi Scarico per Serbatoio;Outlet Fittings;Raccordi di scarico e valvola per serbatoi acqua potabile.;Outlet fittings and valve for fresh water tanks.
1585;1581;Boccaporto per Serbatoio;Hatch;Boccaporto per serbatoi acqua potabile con tappo e pescante.;Fresh water tank hatch with cap and dip tube.
1587;1586;Serbatoi Acqua Potabile in Plastica;Fresh Water Plastic Tanks;Serbatoi in Polietilene per acqua potabile con tappo di carico e pescante di scarico.;Fresh water Polyethylene tanks with filler cap and outlet pipe.
1592;1591;Serbatoi Flessibili Acqua Potabile  Rettangolari;Fresh Water Flexible Rectangular Tanks;"Serbatoi rettangolari flessibili in tessuto gommato rinforzato. 
Completi di boccaporto con raccordi girevoli. 
Raccordo di carico ø 40/50/60 mm. Raccordo di scarico ø 12 mm.";"Reinforced rubber fabric flexible rectangular tanks. 
Complete with hatch and swiveling fittings. 
Inlet fitting ø 40/50/60 mm. Outlet fitting ø 12 mm.
"
1593;1591;Serbatoi Flessibili Acqua Potabile Triangolari;Fresh Water Flexible Triangular Tanks;"Serbatoi triangolari flessibili in tessuto gommato rinforzato. 
Completi di boccaporto con raccordi girevoli. 
Raccordo di carico ø 40/50/60 mm. Raccordo di scarico ø 12 mm.";"Reinforced rubber fabric flexible triangular tanks. 
Complete with hatch and swiveling fittings. 
Inlet fitting ø 40/50/60 mm. Outlet fitting ø 12 mm.
"
1597;1596;Filtro Acqua In-Line;In-Line Water Filter;"Filtro in-line per acqua sanitaria. 
Non potabilizza l'acqua, ma trattiene le impurità.";"In-line filter for sanitary water. 
It doesn't make water drinkable, it just retains the impurities."
1598;1596;Filtro Acqua Pipe;Pipe Water Filter ;"Filtro per acqua sanitaria con filtrante in Acciaio Inox. 
Non potabilizza l'acqua, ma trattiene le impurità. 
Raccordi entrata-uscita con portagomma.";"Stainless Steel strainer filter for sanitary water. 
It doesn't make water drinkable, it just retains the impurities. 
Inlet/outlet pipe-to-hose ports.

"
1599;1596;Filtro Acqua File;File Water Filter ;"Filtro per acqua sanitaria con filtrante in Acciaio Inox. 
Non potabilizza l'acqua, ma trattiene le impurità. 
Raccordi entrata-uscita filettati.";"Stainless Steel strainer filter for sanitary water. 
It doesn't make water drinkable, it just retains the impurities. 
Inlet/outlet threaded ports.
"
1601;1600;Filtro per Acque di Sentina Vetus V-020;Vetus V-020 Bilge Filter;"Filtro scarico acque di sentina. 
Trattiene olio e sporcizia.";"Bilge water drain filter. Traps oil and dirt.

"
1602;1600;Filtro Antiodore Vetus Waste;Vetus Anti Odor Waste Filter;Filtro antiodore per la ventilazione di serbatoi acque nere.;"Anti-odor filter for waste tank ventilation.
"
1603;1600;Filtro Antiodore Vetus Tank;Vetus Anti Odor Tank Filter;Filtro antiodore per la ventilazione di serbatoi carburante.;"Anti-odor filter for fuel tank ventilation.
"
1605;1604;Filtro Acqua di Mare Vetus FTR140;Vetus FTR140 Seawater Strainer;Filtro acqua di mare in Polipropilene per pompe e raffreddamento motori.;"Polypropylene body seawater strainer for pumps and engine cooling.
"
1606;1604;Filtro Acqua di Mare Vetus FTR330;Vetus FTR330 Seawater Strainer;Filtro acqua di mare in Polipropilene per pompe e raffreddamento motori.;"Polypropylene body seawater strainer for pumps and engine cooling.
"
1607;1604;Filtro Acqua di Mare SeaFilter;Seawater SeaFilter Strainer;Filtro acqua di mare in Policarbonato per pompe e raffreddamento motori.;"Polycarbonate body seawater strainer for pumps and engine cooling.
"
1608;1604;Filtro Acqua di Mare RGS;RGS Seawater Strainer;Filtro acqua di mare in Ottone e Acciaio Inox omologato R.I.Na. ↵Piccola portata per pompe e raffreddamento motori.;"Brass and Stainless Steel R.I.Na. approved seawater strainer. ↵For small capacity pumps and engine cooling.


"
1609;1604;Filtro Acqua di Mare RGM;RGM Seawater Strainer;"Filtro acqua di mare in Ottone e Acciaio Inox omologato R.I.Na. ↵
Media portata per pompe e raffreddamento motori.";Brass and Stainless Steel R.I.Na. approved seawater strainer. ↵For medium capacity pumps and engine cooling.
1610;1604;Filtro Acqua di Mare RGL;RGL Seawater Strainer;"Filtro acqua di mare in Ottone e Acciaio Inox omologato R.I.Na. ↵
Grande portata per pompe e raffreddamento motori.";"Brass and Stainless Steel R.I.Na. approved seawater strainer. ↵For large capacity pumps and engine cooling.
"
1620;1619;Portagomma M in Ottone;Brass Pipe-to-Hose M;Portagomma maschio in Ottone.;Brass male pipe-to-hose.
1621;1619;Portagomma F in Ottone;Brass Pipe-to-Hose F;Portagomma femmina in Ottone.;Brass female pipe-to-hose.
1622;1619;Gomito M-F in Ottone;Brass Elbow M-F;Gomito maschio-femmina in Ottone.;Brass male-female elbow.
1623;1619;Gomito F-F in Ottone;Brass Elbow F-F;Gomito femmina-femmina in Ottone.;Brass female-female elbow.
1624;1619;Nipple Doppio in Ottone;Brass Double Nipple;Nipple doppio in Ottone.;Brass double nipple.
1625;1619;Nipple Doppio Ridotto in Ottone;Brass Double Reducing Nipple;Nipple doppio ridotto in Ottone.;Brass reducing double nipple.
1626;1619;Riduzione M-F in Ottone;Brass Hex Pipe Bushing M-F;Riduzione maschio-femmina in Ottone.;Brass male to female hex pipe bushing.
1627;1619;Raccordo T in Ottone;Brass Tees;Raccordo a T in Ottone.;Brass Tees.
1628;1619;Manicotto F in Ottone;Brass Couplings F;Manicotto femmina in Ottone.;Brass female coupling.
1629;1619;Tappo M in Ottone;Brass Square Head Plug M;Tappo maschio in Ottone.;Brass square head plug.
1642;1637;Portagomma M Inox;Stainless Steel Pipe-to-Hose M;Portagomma maschio in Acciaio Inox.;"Stainless Steel male pipe to hose.
"
1643;1637;Portagomma F Inox;Stainless Steel Pipe-to-Hose F;Portagomma femmina in Acciaio Inox.;Stainless Steel female pipe to hose.
1644;1637;Gomito 90° M-F Inox;Stainless Steel Elbow 90° M-F;Gomito a 90° maschio-femmina in Acciaio Inox.;"Stainless Steel male-female 90° elbow.
"
1645;1637;Gomito 90° F-F Inox;Stainless Steel Elbow 90° F-F;Gomito a 90° femmina-femmina in Acciaio Inox.;Stainless Steel female-female 90° elbow.
1646;1637;Gomito 45° F-F Inox;Stainless Steel Elbow 45° F-F;Gomito a 45° femmina-femmina in Acciaio Inox.;Stainless Steel female-female 45° elbow.
1647;1637;Nipple M-M Inox;Stainless Steel Nipple M-M;Nipple maschio-maschio in Acciaio Inox.;Stainless Steel male to male nipple.
1648;1637;Manicotto Filettato Inox;Stainless Steel Threaded Pipe Coupling;Manicotto filettato in Acciaio Inox.;"Stainless Steel threaded pipe coupling.
"
1649;1637;Raccordo T Inox;Stainless Steel Tee;Raccordo a T in Acciaio Inox.;Stainless Steel tee.
1650;1637;Riduzione M-F Inox;Stainless Steel Hex Pipe Bushing M-F;Riduzione maschio-femmina in Acciaio Inox.;Stainless Steel male-female hex pipe bushing.
1651;1637;Tappo a Vite Inox;Stainless Steel Hex Head Plug;Tappo a vite in Acciaio Inox.;Stainless Steel hex head plug.
1654;1652;Tubo Armo;Armo Hose ;"Tubo in PVC armato con spirale in Acciaio. 
Per mandata e aspirazione acqua.";"Helical Steel wire reinforced PVC hose. 
For water intake and drain. 
"
1655;1652;Tubo Sanitation;Sanitation Hose ;Tubo in PVC con spirale in Acciaio. Per mandata e aspirazione acqua, sanitari e WC.;"Helical Steel wire reinforced PVC hose. 
For water intake and drain, sanitation and toilets."
1656;1652;Tubo WC Sanipomp (No Smell);WC Sanipomp Hose (No Smell);Tubo in gomma antiodore con spirale in Acciaio. Specifico per sanitari e WC, non assorbe e non fa passare odori sgradevoli.;Helical Steel wire odorless rubber hose. Designed for toilets and sanitation systems, it blocks unpleasant odors.
1657;1652;Tubo a Fisarmonica per Condotte d'Aria;Ventilation Air Bellows Hose;"Tubo a fisarmonica in PVC leggero con spirale in Acciaio. 
Per aspirazione e mandata aria.";"Steel helical wire light PVC air bellow hose. 
For air supply and intake.

"
1659;1652;Tubo Carburante R.I.Na.;R.I.Na. Fuel Hose;"Tubo in gomma autoestinguente per 
aspirazione e mandata carburanti. Certificazione CE e R.I.Na. ";Self-extinguishing rubber hose for fuel supply and intake. R.I.Na. and CE certified.
1660;1652;Tubo Scarico Motori R.I.Na. DIP - 100°C Corrugato;R.I.Na. DIP - 100°C Corrugated Engine Exhaust Hose;"Tubo scarico in Gomma flessibile ondulato con spirale in Acciaio. 
Per acqua di raffreddamento e gas di scarico motore fino a 100°C. ↵
Normative di riferimento: SAE J 2006:2003 R2-ISO 13363:2004-Tipo 2 Classe B. ↵
Omologazioni: LLOYD'S REGISTER N.96/00127 - R.I.Na. N.DIP 075110CS. ";"Steel helix wire flexible corrugated Rubber exhaust hose.  
For engine water and engine exhaust gas up to 100°C. ↵
Standards: SAE J 2006:2003 R2-ISO 13363:2004-Type 2 Class B. ↵
Approved: LLOYD'S REGISTER N.96/00127 - R.I.Na. N.DIP 075110CS. 
"
1665;1664;Fascetta Inox Germany Type 12;S/Steel Germany Type Clamp 12;"Fascetta standard DIN 3017 con banda piena. 
Banda, cassetto e vite in Acciaio Inox. 
Bordi arrotondati, non danneggia i tubi serrati.";"Full strip DIN 3017 standard clamp. 
Stainless Steel strip, housing and screw. 
Smooth edges, does not damage clamped hoses.
"
